IP,Time,Browser
10.222.131.43,22/Nov/2023:21:19:41,Safari
10.222.131.43,22/Nov/2023:21:22:20,Safari
10.222.131.43,22/Nov/2023:21:22:24,Safari
10.222.131.43,22/Nov/2023:21:27:57,Safari
10.222.131.43,22/Nov/2023:21:34:31,Safari
10.222.131.43,22/Nov/2023:21:39:35,Safari
